num,time,seconds,source,ip,50plus,wechat,wechattime,videocall,videocallrate,switchcamera,voicecall,voicecallrate,presstospeak,presstospeakrate,sendlocation,sendlocationrate,recallmessage,recallmessagerate,moments,momentsrate,enlargefontsize,caremode,nps,age,gender,marriage,living,education,pension,livingarea
129,2022/10/10 19:45,155,问卷推荐服务,120.219.112.150(河南-郑州),1,1,1,4,4,1,3,4,5,4,3,3,3,4,2,3,2,2,4,53,2,2,1,2,4,1
130,2022/10/10 19:45,160,问卷推荐服务,106.9.145.10(河北-邢台),1,1,5,4,4,1,4,4,4,4,1,2,1,2,1,2,2,2,11,55,2,2,1,2,4,1
131,2022/10/10 19:46,303,问卷推荐服务,117.136.41.11(广东-东莞),1,1,2,3,4,1,2,3,4,4,2,3,3,4,4,4,2,2,8,54,1,2,1,2,1,2
132,2022/10/10 19:55,775,问卷推荐服务,117.162.65.11(江西-吉安),1,1,2,3,4,2,3,3,4,3,2,4,4,3,3,2,2,1,6,60,1,2,1,2,4,2
133,2022/10/10 21:05,161,微信,113.89.149.62(广东-深圳),1,1,5,2,4,2,4,4,4,4,4,4,4,4,3,4,1,2,11,50,1,2,1,3,4,1
134,2022/10/10 21:13,439,微信,103.78.126.121(广东-未知),1,1,3,3,4,1,4,4,4,5,2,3,2,4,3,4,1,1,1,60,2,4,2,2,6,1
135,2022/10/10 21:17,323,微信,120.229.55.218(广东-深圳),1,1,3,3,4,1,3,4,3,4,2,3,2,4,2,4,1,2,11,65,1,2,1,3,6,1
136,2022/10/10 21:21,148,微信,27.44.251.11(广东-东莞),1,1,1,2,3,2,2,3,2,2,2,3,2,4,2,2,2,2,7,56,2,1,1,4,5,2
137,2022/10/10 21:37,16,微信,116.18.236.14(广东-东莞),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,2022/10/10 21:41,16,微信,116.18.236.14(广东-东莞),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,2022/10/10 21:42,10,微信,116.18.236.14(广东-东莞),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,2022/10/10 22:03,85,微信,116.199.102.238(广东-广州),1,1,5,3,3,1,4,4,3,3,3,3,2,3,2,3,1,2,11,61,1,2,1,3,4,1
141,2022/10/10 22:07,144,微信,120.231.135.129(广东-广州),1,1,2,3,4,2,4,4,3,4,1,3,2,3,1,3,2,2,11,65,2,2,1,3,1,1
142,2022/10/10 22:08,14,微信,14.150.83.2(广东-未知),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,2022/10/10 22:10,131,微信,120.229.190.83(广东-惠州),1,1,2,3,4,2,5,5,5,5,1,3,1,3,2,3,2,2,11,56,2,2,1,1,3,2
144,2022/10/14 16:22,306,微信,101.228.18.93(上海-上海),1,1,5,3,4,1,4,4,1,3,1,3,1,3,3,4,2,2,8,87,1,3,1,5,6,1
145,2022/10/14 16:39,201,微信,111.194.217.38(北京-北京),1,1,4,3,5,2,5,5,4,4,2,3,4,4,1,3,1,1,11,64,2,2,1,4,8,1
146,2022/10/14 16:39,158,微信,120.231.113.17(广东-中山),1,1,5,2,4,1,4,5,2,4,4,5,2,4,5,5,1,1,11,60,1,2,1,4,5,1
147,2022/10/14 17:27,293,微信,124.240.78.64(广东-广州),1,1,5,4,5,1,4,5,4,4,3,4,4,4,4,4,1,2,11,62,2,2,1,4,7,1
148,2022/10/14 21:19,207,微信,183.191.186.114(山西-太原),1,1,2,3,4,1,3,4,3,4,3,4,3,4,3,4,1,2,7,64,1,2,1,4,4,1
149,2022/10/15 22:53,235,微信,222.129.129.150(北京-北京),1,1,3,3,5,1,3,5,2,4,2,4,2,4,2,4,1,1,11,59,1,2,1,4,8,1
150,2022/10/24 13:31,341,微信,116.199.102.192(广东-广州),1,1,4,3,5,1,4,5,3,5,3,4,3,5,3,5,1,1,9,83,2,2,1,3,5,1
151,2022/10/24 13:34,300,微信,116.199.102.192(广东-广州),1,1,2,3,5,1,4,5,4,5,3,3,3,4,5,5,1,1,9,85,1,2,1,4,5,1
